"radial position, mm"	h75mm	h125mm	h175mm	h225mm	h275mm	h325mm	h375mm	h425mm	h475mm	h525mm	h575mm	h625mm	h675mm	h725mm	h775mm	h825mm
-68.001602	0	0	0	0	0	0	0	0	0	0.001855339	0.006740248	0.004411123	0.003480573	0.001275162	0	0
-67.864502	0	0	0	0	0	0	0	0	0	0.001855348	0.006740398	0.004411188	0.003480616	0.001275166	0	0
-67.727402	0	0	0	0	0	0	0	0	0	0.001855357	0.006740541	0.004527336	0.003480659	0.001391095	0	0
-67.590302	0	0	0	0	0	0	0	0	0	0.001855366	0.006856899	0.004527413	0.003480701	0.001391104	0	0
-67.453201	0	0	0	0	0	0	0	0	0	0.001855374	0.006857059	0.004527485	0.003480742	0.001391111	0	0
-67.316101	0	0	0	0	0	0	0	0	0	0.001855383	0.006973434	0.004643645	0.003480783	0.001391118	0	0
-67.179001	0	0	0	0	0	0	0	0	0	0.001855391	0.006973605	0.004643728	0.003364795	0.001391124	0	0
-67.041901	0	0	0	0	0	0	0	0	0	0.0018554	0.007089995	0.004643805	0.003364823	0.001391131	0	0
-66.9048	0	0	0	0	0	0	0	0.00011585	0	0.001855408	0.007090175	0.004643879	0.003364853	0.001391137	0	0
-66.7677	0	0	0	0	0.00011585	0.00011585	0.00011585	0.000231701	0.0002317	0.002087344	0.00720658	0.004643951	0.003364884	0.001391143	0	0
-66.6306	0	0	0	0	0.000347551	0.000347551	0.000463401	0.000579255	0.000579254	0.00243526	0.007206768	0.004644021	0.003364916	0.001391148	0	0
-66.4935	0	0	0	0	0.000463405	0.000463405	0.00069511	0.001042672	0.000926818	0.002667238	0.007323186	0.00464409	0.003364947	0.001391154	0	0
-66.3564	0	0	0	0	0.000579262	0.000810967	0.000926827	0.001506115	0.001274399	0.002783262	0.007323383	0.004760261	0.003481012	0.00139116	0	0
-66.219299	0	0	0	0	0.000810975	0.001042688	0.001274409	0.001853734	0.001737859	0.003015261	0.007439815	0.004760344	0.003481055	0.001391165	0	0
-66.082199	0	0	0	0	0.000926842	0.001274421	0.001622012	0.002433104	0.002201357	0.00324728	0.007556268	0.004760421	0.003481095	0.001391171	0	0
-65.945099	0	0	0	0	0.001158569	0.001506165	0.00196964	0.002896672	0.002549034	0.003595297	0.007556486	0.004876605	0.003481134	0.001391176	0	0
-65.807999	0	0	0	0	0.001390308	0.001853785	0.002317296	0.003360292	0.003012614	0.003711392	0.007672947	0.004876694	0.003481171	0.001391181	0	0
-65.670898	0	0	0	0	0.001506199	0.001969703	0.002664984	0.00393985	0.003592124	0.003943471	0.007673169	0.00499289	0.003481208	0.001507119	0	0
-65.533798	0	0	0	0	0.001737958	0.00231736	0.003128579	0.004635382	0.004055838	0.004291563	0.007789641	0.004992987	0.003481244	0.001507129	0	0
-65.396698	0	0	0	0	0.001853866	0.002549178	0.003476354	0.005099258	0.004635505	0.004523709	0.007906136	0.004993077	0.003481279	0.001507138	0	0
-65.259598	0	0	0	0	0.002201517	0.00289689	0.003940052	0.005679104	0.005099377	0.004755876	0.007906378	0.004993163	0.003481314	0.001507146	0	0
-65.122498	0	0	0	0	0.002433327	0.003128759	0.004287926	0.006259064	0.005679225	0.00510407	0.007906605	0.004993246	0.003365304	0.001507153	0	0
-64.985397	0	0	0	0	0.002549278	0.003476532	0.00475174	0.006839141	0.006143275	0.005336309	0.007906823	0.004993327	0.003365326	0.001507161	0	0
-64.848297	0	0	0	0	0.002781113	0.003708458	0.005215629	0.007303415	0.006723327	0.005568572	0.008139594	0.004993406	0.003365352	0.001507168	0	0
-64.711197	0	0	0	0	0.003012969	0.004056299	0.005679596	0.007999651	0.007071647	0.005916878	0.008139854	0.005225739	0.003365378	0.001507175	0	0
-64.574097	0	0	0	0	0.003128959	0.004288287	0.006027727	0.008464177	0.007535951	0.006149219	0.008140096	0.00522585	0.003365405	0.001623119	0	0
-64.436996	0	0	0	0	0.003476736	0.004520298	0.006375907	0.009160709	0.008116302	0.006381585	0.008140327	0.005225951	0.003365433	0.001623131	0	0
-64.299896	0	0	0	0	0.003592765	0.004868244	0.006840075	0.009625504	0.00858084	0.00661398	0.008256844	0.005226046	0.00336546	0.001623142	0	0
-64.162804	0	0	0	0	0.003824696	0.005100327	0.007188397	0.010206374	0.008929507	0.006962445	0.008257089	0.005226138	0.003365487	0.001623152	0	0
-64.025703	0	0	0	0	0.004056654	0.005332433	0.007536775	0.010671411	0.009510186	0.007194928	0.008257322	0.005226227	0.003249462	0.001623161	0	0
-63.888599	0	0	0	0	0.004056818	0.005680496	0.007769254	0.011252558	0.009859051	0.007427439	0.008373851	0.005226314	0.003249479	0.00162317	0	0
-63.751499	0	0	0	0	0.004288791	0.005912682	0.00823369	0.01171786	0.01032397	0.00765998	0.008374099	0.005342542	0.003365552	0.001623179	0	0
-63.614399	0	0	0	0	0.004404878	0.006028953	0.008466287	0.012299303	0.010556986	0.007892555	0.008374334	0.005342643	0.003365583	0.001623187	0	0
-63.477299	0	0	0	0	0.004636893	0.006261169	0.008814887	0.012764885	0.011022053	0.008241236	0.008490875	0.005342738	0.003365612	0.001623195	0	0
-63.340199	0	0	0	0	0.004637084	0.006493419	0.009047567	0.013114525	0.011371222	0.00835783	0.008491126	0.005458978	0.00336564	0.001623203	0	0
-63.203098	0	0	0	0	0.004753188	0.006609742	0.009164268	0.013580292	0.011488371	0.008590501	0.008491364	0.005459086	0.003365668	0.001623211	0	0
-63.066002	0	0	0	0	0.004869304	0.006842032	0.009396968	0.013930112	0.011837591	0.008707117	0.008491595	0.005459186	0.003365695	0.001623219	0	0
-62.928902	0	0	0	0	0.004985429	0.006842414	0.009629708	0.014163901	0.012070839	0.00882373	0.008491821	0.005459283	0.003365722	0.001623227	0	0
-62.791801	0	0	0	0	0.004985619	0.006958743	0.00963043	0.014513808	0.012188039	0.009056455	0.008492041	0.005459377	0.003365749	0.001739179	0	0
-62.654701	0	0	0	0	0.004985796	0.007075084	0.009747135	0.014747683	0.012305215	0.009173112	0.008492258	0.005691787	0.003249714	0.001739193	0	0
-62.517601	0	0	0	0	0.004985963	0.007075444	0.009747804	0.014981576	0.012422381	0.009173647	0.00849247	0.005691914	0.00324973	0.001739204	0	0
-62.380501	0	0	0	0	0.004986122	0.007075782	0.009748435	0.015099349	0.012423436	0.009174148	0.008609018	0.00569203	0.003365811	0.001739215	0	0
-62.243401	0	0	0	0	0.004986276	0.007076103	0.009749038	0.015100926	0.012424434	0.009174624	0.008492912	0.00569214	0.003481905	0.001739225	0	0
-62.1063	0	0	0	0	0.00487046	0.007076412	0.009633551	0.015218588	0.01242539	0.009175081	0.008609452	0.005808414	0.003481944	0.001739235	0	0
-61.9692	0	0	0	0	0.004870586	0.006960698	0.009518003	0.015103884	0.012310177	0.009059376	0.008609678	0.005808536	0.003481979	0.001739244	0	0
-61.8321	0	0	0	0	0.004754742	0.006844944	0.009402405	0.014989047	0.01219488	0.008943619	0.008726245	0.005808651	0.003482012	0.001739254	0	0
-61.695	0	0	0	0	0.004638877	0.00672916	0.009286765	0.015106512	0.012079516	0.009060134	0.008726486	0.005808761	0.003482045	0.001739263	0	0
-61.557899	0	0	0	0	0.004638969	0.006845396	0.009403267	0.015224018	0.012196406	0.009060524	0.008843071	0.005925045	0.003482076	0.001739272	0	0
-61.420799	0	0	0	0	0.004639065	0.006845636	0.009403714	0.015573991	0.012313343	0.009177067	0.008959682	0.005925169	0.003598177	0.001739281	0	0
-61.283699	0	0	0	0	0.004639161	0.006845869	0.009404149	0.01580788	0.01254648	0.009293638	0.008959951	0.005925285	0.003598218	0.001739289	0	0
-61.146599	0	0	0	0	0.004639257	0.006846096	0.009520682	0.01592558	0.012663515	0.00941023	0.00907657	0.006041581	0.003598256	0.001739298	0	0
-61.009499	0	0	0	0	0.004639352	0.007078398	0.009521134	0.016159524	0.01278056	0.009526841	0.009193214	0.00604171	0.003598293	0.001739306	0	0
-60.872398	0	0	0	0	0.004639446	0.007078666	0.009637686	0.016393536	0.012897619	0.009643469	0.009193504	0.00615802	0.003598328	0.001739314	0	0
-60.735298	0	0	0	0	0.004639539	0.007078917	0.009638144	0.016511331	0.013130896	0.009876305	0.00942653	0.006158157	0.003598362	0.001855277	0	0
-60.598202	0	0	0	0	0.004639631	0.007195211	0.009638584	0.016629116	0.013248032	0.009993	0.009543236	0.006274479	0.003714472	0.001971247	0	0
-60.461102	0	0	0	0	0.004639721	0.007195471	0.009871277	0.016863197	0.01359761	0.010109703	0.009659953	0.006274622	0.003714517	0.001971266	0	0
-60.324001	0	0	0	0	0.00463981	0.007195719	0.009871763	0.016981043	0.013714858	0.010226417	0.009776684	0.006274757	0.003714558	0.001971282	0	0
-60.186901	0	0	0	0	0.004639898	0.007312023	0.009988367	0.017098881	0.013948332	0.01045936	0.010009823	0.006391087	0.003830678	0.001971297	0	0
-60.049801	0	0	0	0	0.004755984	0.007312281	0.009988845	0.017216723	0.014065623	0.010576138	0.01001022	0.006391233	0.003830728	0.001971311	0	0
-59.912701	0	0	0	0	0.004756086	0.0074286	0.010105458	0.017334572	0.014299164	0.010692922	0.01024339	0.00639137	0.003946858	0.001971325	0	0
-59.7756	0	0	0	0	0.004756182	0.007428864	0.010222097	0.017452426	0.01453277	0.010809716	0.010360212	0.006391502	0.003946915	0.001971338	0	0
-59.6385	0	0	0	0	0.004756275	0.007429116	0.01022259	0.017453932	0.014766434	0.011042762	0.010593453	0.006507841	0.003946966	0.00197135	0	0
-59.5014	0	0	0	0	0.004872376	0.007545444	0.010339232	0.017571746	0.015000153	0.011043374	0.010710331	0.006507987	0.003947015	0.001971363	0	0
-59.3643	0	0	0	0	0.004872481	0.007545707	0.0104559	0.017456829	0.015233925	0.011276451	0.010827214	0.006508124	0.004063152	0.001971375	0	0
-59.2272	0	0	0	0	0.004872581	0.007778141	0.010572588	0.017574566	0.015351451	0.011509591	0.010944106	0.006508257	0.00406321	0.00208735	0	0
-59.090099	0	0	0	0	0.004872677	0.007778437	0.010573107	0.017575952	0.015585274	0.01162652	0.011177443	0.006624607	0.004063263	0.002087369	0	0
-58.952999	0	0	0	0	0.004872771	0.007778713	0.010689794	0.017460891	0.015819162	0.01174345	0.011294398	0.006624755	0.004063315	0.002087385	0	0
-58.815899	0	0	0	0	0.004872863	0.007895082	0.010690308	0.017578558	0.016053107	0.01186039	0.011411357	0.006624894	0.004295556	0.0020874	0	0
-58.678799	0	0	0	0	0.004872954	0.007895365	0.010923208	0.017579858	0.016287107	0.012093625	0.011644775	0.006741257	0.004295631	0.002087414	0	0
-58.541698	0	0	0	0	0.004873042	0.007895635	0.010923758	0.017464694	0.016521161	0.01232692	0.011761795	0.00674141	0.004295698	0.002087428	0	0
-58.404598	0	0	0	0	0.00487313	0.008012012	0.011040493	0.017465876	0.016638914	0.01244397	0.011995279	0.006857787	0.00429576	0.002087442	0	0
-58.267502	0	0	0	0	0.004873215	0.008012293	0.01104103	0.017583497	0.016873017	0.012677325	0.011995887	0.006857948	0.00429582	0.002087455	0	0
-58.130402	0	0	0	0	0.0048733	0.00801256	0.01115777	0.017584716	0.017107185	0.012910737	0.012229393	0.006858099	0.004411982	0.002087468	0	0
-57.993301	0	0	0	0	0.004873383	0.008128948	0.01139077	0.017585905	0.017225028	0.013027881	0.012346487	0.006974486	0.004412052	0.002087481	0	0
-57.856201	0	0	0	0	0.004873466	0.00824536	0.011391358	0.017703543	0.017575647	0.01326135	0.012580068	0.007090894	0.004412116	0.002203466	0	0
