# x, um, vm, wm, urms, vrms, urms
9.959983376389342169e+00 9.042525968308169126e+00 -2.854422319887310946e-02 -2.854422319887310946e-02 2.177065514508701227e+00 9.465369196018837972e-01 9.465369196018837972e-01
1.014107398323279163e+01 9.139636554170841976e+00 -2.867866713904019052e-02 -2.867866713904019052e-02 2.164436233490807382e+00 9.488973733135921407e-01 9.488973733135921407e-01
1.032216459007622156e+01 9.235557418715698574e+00 -2.820730439460486863e-02 -2.820730439460486863e-02 2.152664801585150833e+00 9.512593930792504482e-01 9.512593930792504482e-01
1.050325519691967102e+01 9.329291496215471824e+00 -2.732154321707389033e-02 -2.732154321707389033e-02 2.141460851422412492e+00 9.534602360435884272e-01 9.534602360435884272e-01
1.068434580376312049e+01 9.420093943683131243e+00 -2.645694603879503171e-02 -2.645694603879503171e-02 2.130997269565955143e+00 9.555135603566885516e-01 9.555135603566885516e-01
1.086543641060655041e+01 9.508600593436785431e+00 -2.579778301954186240e-02 -2.579778301954186240e-02 2.122948456599640821e+00 9.574269338929644046e-01 9.574269338929644046e-01
1.104652701744999987e+01 9.594411609866906332e+00 -2.529747028359712047e-02 -2.529747028359712047e-02 2.115167251991973529e+00 9.588856041031107447e-01 9.588856041031107447e-01
1.122761762429345112e+01 9.677037949555622021e+00 -2.474260707968614983e-02 -2.474260707968614983e-02 2.106909418642807008e+00 9.593712678125538851e-01 9.593712678125538851e-01
1.140870823113688104e+01 9.757845396674280636e+00 -2.358082811330817694e-02 -2.358082811330817694e-02 2.099263426445467928e+00 9.592100199209943057e-01 9.592100199209943057e-01
1.158979883798033050e+01 9.836927663065502259e+00 -2.243221871293374012e-02 -2.243221871293374012e-02 2.092882159557345023e+00 9.592037574663789812e-01 9.592037574663789812e-01
1.177088944482377997e+01 9.914354844069059425e+00 -2.105406107064292792e-02 -2.105406107064292792e-02 2.088567228689978350e+00 9.592508816067021327e-01 9.592508816067021327e-01
1.195198005166720989e+01 9.988403568982560543e+00 -1.924456644996438981e-02 -1.924456644996438981e-02 2.084132770468776652e+00 9.591673765622786840e-01 9.591673765622786840e-01
