#            x/D           =            23.4375  ~  23  
#            r(mm)         r/D          fv(ppm)  rms_fv
-32.081402   -10.02543813  0.000347568  0.00104265
-31.9443     -9.98259375   0.000347568  0.0009268
-31.807199   -9.939749688  0.000347569  0.0009268
-31.670099   -9.896905938  0.000347569  0.0009268
-31.533001   -9.854062813  0.00034757   0.0009268
-31.395901   -9.811219063  0.00034757   0.0009268
-31.258801   -9.768375313  0.00034757   0.0009268
-31.1217     -9.72553125   0.000347571  0.0009268
-30.9846     -9.6826875    0.000347571  0.0009268
-30.8475     -9.63984375   0.000347572  0.0009268
-30.7104     -9.597        0.000347572  0.00081095
-30.573299   -9.554155938  0.000347572  0.0009268
-30.436199   -9.511312188  0.000347573  0.0009268
-30.299101   -9.468469063  0.000347573  0.0009268
-30.162001   -9.425625313  0.000347574  0.0009268
-30.0249     -9.38278125   0.000347574  0.0009268
-29.8878     -9.3399375    0.000347574  0.0009268
-29.7507     -9.29709375   0.000347575  0.0009268
-29.6136     -9.25425      0.000347575  0.0009268
-29.4765     -9.21140625   0.000347575  0.0009268
-29.339399   -9.168562188  0.000347576  0.0009268
-29.202299   -9.125718438  0.000347576  0.0009268
-29.065201   -9.082875313  0.000347576  0.0009268
-28.928101   -9.040031563  0.000347576  0.0009268
-28.791      -8.9971875    0.000347577  0.0009268
-28.6539     -8.95434375   0.000347577  0.0009268
-28.5168     -8.9115       0.000347577  0.0009268
-28.3797     -8.86865625   0.000347578  0.0009268
-28.242599   -8.825812188  0.000347578  0.0009268
-28.105499   -8.782968438  0.000347578  0.0009268
-27.968399   -8.740124688  0.000347579  0.0009268
-27.831301   -8.697281563  0.000347579  0.0009268
-27.694201   -8.654437813  0.000347579  0.0009268
-27.5571     -8.61159375   0.000347579  0.00081095
-27.42       -8.56875      0.00034758   0.00081095
-27.2829     -8.52590625   0.00034758   0.00081095
-27.1458     -8.4830625    0.00034758   0.00081095
-27.008699   -8.440218438  0.00034758   0.00081095
-26.871599   -8.397374688  0.000347581  0.00081095
-26.734501   -8.354531563  0.000347581  0.00081095
-26.597401   -8.311687813  0.000347581  0.0009268
-26.4603     -8.26884375   0.000347581  0.0009268
-26.3232     -8.226        0.000347582  0.0009268
-26.1861     -8.18315625   0.000347582  0.0009268
-26.049      -8.1403125    0.000347582  0.0009268
-25.9119     -8.09746875   0.000347582  0.0009268
-25.774799   -8.054624688  0.000347583  0.0009268
-25.637699   -8.011780938  0.000347583  0.0009268
-25.500601   -7.968937813  0.000347583  0.0009268
-25.363501   -7.926094063  0.000347583  0.0009268
-25.2264     -7.88325      0.000347583  0.0009268
-25.0893     -7.84040625   0.000347584  0.0009268
-24.9522     -7.7975625    0.000347584  0.0009268
-24.8151     -7.75471875   0.000347584  0.0009268
-24.677999   -7.711874688  0.000347584  0.0009268
-24.540899   -7.669030938  0.000347585  0.0009268
-24.403799   -7.626187188  0.000347585  0.0009268
-24.266701   -7.583344063  0.000347585  0.0009268
